max_distance_distributions,max_distance_sketches
0.1012,0.1009
0.1245,0.1234
0.6369,0.6358
0.5914,0.5906
0.5543,0.5537
0.5287,0.5283
0.514,0.5129
0.4958,0.4946
0.9323,0.9315
0.9076,0.9066
0.8807,0.8803
0.8512,0.8503
0.8229,0.8216
0.7977,0.797
0.9951,0.9945
0.9891,0.9881
0.9814,0.9805
0.9724,0.9713
0.9581,0.9568
0.9435,0.942
0.0408,0.04
0.0637,0.0631
0.0875,0.0868
0.6048,0.6048
0.5578,0.5579
0.5179,0.5184
0.491,0.4915
0.4759,0.475
0.4559,0.4553
0.9052,0.9048
0.8772,0.8767
0.8491,0.8489
0.8197,0.8192
0.7884,0.7875
0.7636,0.7629
0.9883,0.9881
0.9791,0.9787
0.9668,0.966
0.9559,0.9554
0.9374,0.9367
0.9227,0.922
0.0324,0.0325
0.0625,0.0613
0.587,0.586
0.5398,0.5391
0.5009,0.5004
0.4735,0.4732
0.4568,0.4556
0.4344,0.4332
0.8836,0.8823
0.8545,0.8532
0.8244,0.8234
0.7951,0.794
0.7655,0.7638
0.7399,0.7384
0.9801,0.9791
0.9685,0.9676
0.9534,0.9519
0.9415,0.9402
0.9195,0.9189
0.9055,0.9043
0.0345,0.034
0.5659,0.5654
0.5189,0.5187
0.4789,0.4789
0.4512,0.4511
0.4287,0.4281
0.4062,0.4057
0.857,0.8562
0.8272,0.8267
0.7981,0.7975
0.7681,0.7671
0.7368,0.7356
0.7117,0.711
0.9711,0.9701
0.9593,0.9584
0.9424,0.9413
0.9291,0.9282
0.9064,0.9057
0.8909,0.8896
0.5424,0.5424
0.4965,0.4967
0.4566,0.4568
0.4295,0.4299
0.4056,0.4054
0.3824,0.382
0.829,0.8292
0.7979,0.7981
0.7688,0.769
0.7379,0.7377
0.7072,0.7068
0.6817,0.6813
0.9582,0.9584
0.9431,0.9433
0.923,0.9229
0.9073,0.9073
0.8846,0.8847
0.8687,0.8685
0.0486,0.0484
0.087,0.0865
0.1181,0.1181
0.1423,0.1418
0.1644,0.1644
0.6824,0.6823
0.6464,0.6462
0.6122,0.6122
0.577,0.5759
0.5608,0.5598
0.5442,0.5433
0.9548,0.9542
0.9348,0.9342
0.905,0.9041
0.8848,0.8846
0.8578,0.8572
0.8372,0.8365
0.0406,0.0406
0.078,0.0781
0.1026,0.102
0.1264,0.127
0.6416,0.6415
0.6046,0.6045
0.5712,0.5712
0.535,0.5341
0.519,0.5179
0.5041,0.5034
0.9323,0.9318
0.9077,0.9073
0.8753,0.8746
0.8521,0.8515
0.826,0.8258
0.8068,0.806
0.0408,0.0407
0.0648,0.0643
0.0887,0.0892
0.6063,0.6063
0.5723,0.5721
0.5367,0.5367
0.5001,0.4993
0.4831,0.4821
0.4675,0.4666
0.9108,0.9103
0.8819,0.8813
0.8459,0.8451
0.8219,0.8214
0.7952,0.7946
0.7749,0.7742
0.0306,0.031
0.0614,0.0621
0.5738,0.5736
0.5395,0.5392
0.5029,0.5026
0.4636,0.4627
0.4469,0.4458
0.4288,0.428
0.883,0.8826
0.8539,0.8532
0.817,0.8161
0.7932,0.7923
0.7666,0.7662
0.7456,0.7445
0.0314,0.0313
0.5549,0.5552
0.5212,0.5217
0.4831,0.4836
0.4439,0.4438
0.4246,0.4241
0.4053,0.4048
0.8569,0.8572
0.8254,0.8257
0.7893,0.7891
0.7648,0.765
0.7384,0.7388
0.717,0.7172
0.5407,0.5411
0.5068,0.5074
0.4692,0.4696
0.4295,0.4294
0.4075,0.4073
0.3889,0.3888
0.8338,0.834
0.8019,0.8021
0.764,0.7641
0.7402,0.7404
0.7136,0.7137
0.6938,0.6935
0.0412,0.0414
0.0817,0.0817
0.1122,0.1125
0.1382,0.1373
0.1668,0.166
0.6857,0.6853
0.6388,0.6385
0.598,0.597
0.5701,0.5697
0.5626,0.5623
0.544,0.5433
0.044,0.0438
0.0785,0.0789
0.1035,0.1041
0.1307,0.1297
0.6475,0.6468
0.6008,0.6002
0.5597,0.5587
0.532,0.5315
0.5231,0.5226
0.5038,0.5031
0.0416,0.042
0.0657,0.0662
0.091,0.0903
0.604,0.6036
0.5574,0.5571
0.5172,0.5163
0.4909,0.4902
0.4837,0.4831
0.4655,0.4647
0.037,0.0362
0.0679,0.0674
0.5899,0.59
0.5451,0.5453
0.5043,0.504
0.4703,0.4706
0.4616,0.4615
0.4409,0.4412
0.0322,0.0324
0.5613,0.5617
0.5181,0.5185
0.4758,0.4757
0.4422,0.4425
0.4317,0.4321
0.4109,0.4111
0.5392,0.5395
0.4981,0.498
0.4547,0.4546
0.4217,0.4219
0.4087,0.4088
0.3855,0.3859
0.0476,0.0477
0.0895,0.0897
0.1206,0.1207
0.1435,0.1431
0.166,0.1652
0.0453,0.0457
0.0769,0.0768
0.1018,0.1021
0.1247,0.1242
0.035,0.0347
0.0628,0.0631
0.0851,0.0848
0.0368,0.0368
0.0576,0.0572
0.0251,0.0245
