max_distance_distributions,max_distance_sketches
0.9559,0.9583
0.9374,0.9391
0.9227,0.9235
0.0324,0.0329
0.0625,0.0642
0.587,0.585
0.5398,0.5405
0.5009,0.5021
0.4735,0.4747
0.4568,0.4575
0.4344,0.4345
0.8836,0.8856
0.8545,0.8548
0.8244,0.8254
0.7951,0.7966
0.7655,0.7678
0.7399,0.7394
0.9801,0.9813
0.9685,0.9689
0.9534,0.9559
0.9415,0.9421
0.9195,0.9207
0.9055,0.9075
0.0345,0.0347
0.5659,0.5681
0.5189,0.5212
0.4789,0.479
0.4512,0.4529
0.4287,0.428
0.4062,0.4066
0.857,0.8583
0.8272,0.8281
0.7981,0.7995
0.7681,0.7677
0.7368,0.7375
0.7117,0.7135
0.9711,0.9715
0.9593,0.9601
0.9424,0.9411
0.9291,0.9289
0.9064,0.9077
0.8909,0.8907
0.5424,0.5445
0.4965,0.4966
0.4566,0.4568
0.4295,0.4309
0.4056,0.4044
0.3824,0.383
0.829,0.8284
0.7979,0.7992
0.7688,0.769
0.7379,0.7384
0.7072,0.7074
0.6817,0.682
0.9582,0.9593
0.9431,0.9443
0.923,0.9215
0.9073,0.9085
0.8846,0.8851
0.8687,0.8687
0.0486,0.0501
0.087,0.0879
0.1181,0.1178
0.1423,0.1437
0.1644,0.1649
0.6824,0.6815
0.6464,0.6458
0.6122,0.6114
0.577,0.5763
0.5608,0.5618
0.5442,0.5456
0.9548,0.9547
0.9348,0.934
0.905,0.9045
0.8848,0.8867
0.8578,0.8597
0.8372,0.8395
0.0406,0.0412
0.078,0.0765
0.1026,0.102
0.1264,0.1271
0.6416,0.6443
0.6046,0.6054
0.5712,0.571
0.535,0.5365
0.519,0.5196
0.5041,0.5043
0.9323,0.9331
0.9077,0.9083
0.8753,0.8748
0.8521,0.8532
0.826,0.8288
0.8068,0.809
0.0408,0.0406
0.0648,0.0647
0.0887,0.0892
0.6063,0.608
0.5723,0.5731
0.5367,0.5367
0.5001,0.5014
0.4831,0.4829
0.4675,0.4666
0.9108,0.9117
0.8819,0.8817
0.8459,0.8471
0.8219,0.8227
0.7952,0.7963
0.7749,0.7753
0.0306,0.0326
0.0614,0.0637
0.5738,0.5738
0.5395,0.5405
0.5029,0.5047
0.4636,0.4646
0.4469,0.4467
0.4288,0.4296
0.883,0.8823
0.8539,0.8546
0.817,0.8189
0.7932,0.7955
0.7666,0.7679
0.7456,0.7457
0.0314,0.0341
0.5549,0.5565
0.5212,0.5224
0.4831,0.483
0.4439,0.4451
0.4246,0.423
0.4053,0.4059
0.8569,0.8576
0.8254,0.8271
0.7893,0.7896
0.7648,0.7642
0.7384,0.7386
0.717,0.7182
0.5407,0.541
0.5068,0.5067
0.4692,0.4675
0.4295,0.4287
0.4075,0.4077
0.3889,0.3887
0.8338,0.8351
0.8019,0.8027
0.764,0.7633
0.7402,0.7403
0.7136,0.7149
0.6938,0.6955
0.0412,0.0401
0.0817,0.0827
0.1122,0.1143
0.1382,0.1396
0.1668,0.1677
0.6857,0.6845
0.6388,0.6398
0.598,0.5975
0.5701,0.5709
0.5626,0.5659
0.544,0.5445
0.044,0.0465
0.0785,0.08
0.1035,0.1023
0.1307,0.1326
0.6475,0.6473
0.6008,0.6019
0.5597,0.5611
0.532,0.5313
0.5231,0.5243
0.5038,0.5048
0.0416,0.0392
0.0657,0.066
0.091,0.0919
0.604,0.6046
0.5574,0.5566
0.5172,0.5183
0.4909,0.4923
0.4837,0.4845
0.4655,0.4642
0.037,0.0383
0.0679,0.0695
0.5899,0.5903
0.5451,0.5463
0.5043,0.5055
0.4703,0.4709
0.4616,0.4628
0.4409,0.4403
0.0322,0.0321
0.5613,0.5623
0.5181,0.5182
0.4758,0.4772
0.4422,0.4424
0.4317,0.4324
0.4109,0.4119
0.5392,0.5396
0.4981,0.497
0.4547,0.455
0.4217,0.4224
0.4087,0.4104
0.3855,0.3863
0.0476,0.0485
0.0895,0.0894
0.1206,0.121
0.1435,0.144
0.166,0.1665
0.0453,0.0446
0.0769,0.079
0.1018,0.1025
0.1247,0.1254
0.035,0.0346
0.0628,0.064
0.0851,0.084
0.0368,0.0371
0.0576,0.0576
0.0251,0.0253
