max_distance_distributions,max_distance_sketches
0.088,0.088
0.1184,0.1184
0.1391,0.1391
0.1669,0.1669
0.6739,0.6739
0.6367,0.6367
0.6007,0.6007
0.5624,0.5624
0.5445,0.5445
0.5396,0.5396
0.9564,0.9564
0.9358,0.9358
0.9058,0.9058
0.8829,0.8829
0.8564,0.8564
0.8296,0.8296
0.9975,0.9975
0.9946,0.9946
0.9879,0.9879
0.9784,0.9784
0.9678,0.9678
0.9554,0.9554
1,1
0.9999,0.9999
0.9997,0.9997
0.9977,0.9977
0.9961,0.9961
0.9935,0.9939
0.0476,0.0476
0.0741,0.0741
0.1001,0.1001
0.1267,0.1267
0.6389,0.6389
0.6017,0.6017
0.5659,0.5659
0.5263,0.5263
0.5102,0.5102
0.5039,0.5039
0.9325,0.9325
0.9077,0.9077
0.8771,0.8771
0.8535,0.8535
0.8264,0.8264
0.7997,0.7997
0.9929,0.9929
0.9875,0.9875
0.9793,0.9793
0.968,0.968
0.9533,0.9533
0.9404,0.9404
1,1
0.9995,0.9995
0.9982,0.9982
0.9958,0.9958
0.9923,0.9923
0.9876,0.9876
0.0336,0.0336
0.0618,0.0618
0.0943,0.0943
0.5942,0.5942
0.5568,0.5568
0.5198,0.5198
0.4808,0.4808
0.4641,0.4641
0.4598,0.4598
0.9019,0.9019
0.8752,0.8752
0.8413,0.8413
0.8172,0.8172
0.7893,0.7893
0.7629,0.7629
0.987,0.987
0.9779,0.9779
0.9637,0.9637
0.9511,0.9511
0.934,0.934
0.9205,0.9205
0.9994,0.9994
0.9985,0.9985
0.9966,0.9966
0.9935,0.9935
0.9892,0.9892
0.9821,0.9821
0.0326,0.0326
0.063,0.063
0.5683,0.5683
0.5307,0.5307
0.4944,0.4944
0.4548,0.4548
0.4374,0.4374
0.4325,0.4325
0.8768,0.8768
0.8496,0.8496
0.8163,0.8163
0.7903,0.7903
0.7626,0.7626
0.7349,0.7349
0.9808,0.9808
0.9693,0.9693
0.9531,0.9531
0.9374,0.9374
0.9163,0.9163
0.9025,0.9025
0.9988,0.9988
0.9967,0.9967
0.9936,0.9936
0.9891,0.9891
0.9841,0.9841
0.9762,0.9762
0.0412,0.0412
0.5533,0.5533
0.5147,0.5147
0.4735,0.4735
0.4365,0.4365
0.4165,0.4165
0.4066,0.4066
0.8543,0.8543
0.8253,0.8253
0.7887,0.7887
0.7629,0.7629
0.7346,0.7346
0.7077,0.7077
0.9689,0.9689
0.9563,0.9563
0.9393,0.9393
0.9222,0.9222
0.9007,0.9007
0.8864,0.8864
0.9968,0.9968
0.9937,0.9937
0.9889,0.9889
0.9826,0.9826
0.9749,0.9749
0.9654,0.9654
0.5385,0.5385
0.496,0.496
0.4574,0.4574
0.4221,0.4221
0.397,0.397
0.3794,0.3794
0.8311,0.8311
0.8011,0.8011
0.7645,0.7645
0.7385,0.7385
0.71,0.71
0.6819,0.6819
0.9577,0.9577
0.9414,0.9414
0.9238,0.9238
0.905,0.905
0.8824,0.8824
0.8675,0.8675
0.9942,0.9942
0.9896,0.9896
0.9835,0.9835
0.9757,0.9757
0.9661,0.9661
0.9564,0.9564
0.0474,0.0474
0.0866,0.0866
0.1176,0.1176
0.1427,0.1427
0.1679,0.1679
0.682,0.682
0.6371,0.6371
0.6009,0.6009
0.576,0.576
0.5613,0.5613
0.5406,0.5406
0.9549,0.9549
0.9349,0.9349
0.9108,0.9108
0.8828,0.8828
0.8565,0.8565
0.8357,0.8357
0.9983,0.9983
0.9946,0.9946
