max_distance_distributions,max_distance_sketches
0.9052,0.9081
0.8772,0.8795
0.8491,0.851
0.8197,0.8225
0.7884,0.7906
0.7636,0.7655
0.9883,0.992
0.9791,0.9818
0.9668,0.9682
0.9559,0.9586
0.9374,0.9404
0.9227,0.9254
0.0324,0.0346
0.0625,0.064
0.587,0.5871
0.5398,0.5402
0.5009,0.5007
0.4735,0.4736
0.4568,0.4565
0.4344,0.4343
0.8836,0.8864
0.8545,0.8576
0.8244,0.8264
0.7951,0.797
0.7655,0.7688
0.7399,0.7411
0.9801,0.9829
0.9685,0.9698
0.9534,0.9557
0.9415,0.9441
0.9195,0.9212
0.9055,0.9087
0.0345,0.0367
0.5659,0.5671
0.5189,0.5196
0.4789,0.4797
0.4512,0.4522
0.4287,0.4296
0.4062,0.4067
0.857,0.8589
0.8272,0.8284
0.7981,0.7995
0.7681,0.7694
0.7368,0.7395
0.7117,0.7129
0.9711,0.9727
0.9593,0.9592
0.9424,0.9439
0.9291,0.9314
0.9064,0.9086
0.8909,0.8909
0.5424,0.5433
0.4965,0.4968
0.4566,0.4564
0.4295,0.4287
0.4056,0.4058
0.3824,0.3825
0.829,0.8305
0.7979,0.801
0.7688,0.7702
0.7379,0.7393
0.7072,0.7088
0.6817,0.683
0.9582,0.9611
0.9431,0.9448
0.923,0.9235
0.9073,0.9099
0.8846,0.8867
0.8687,0.8703
0.0486,0.0483
0.087,0.0877
0.1181,0.1194
0.1423,0.1429
0.1644,0.1654
0.6824,0.6832
0.6464,0.6466
0.6122,0.6116
0.577,0.5778
0.5608,0.5617
0.5442,0.5455
0.9548,0.9584
0.9348,0.9379
0.905,0.9066
0.8848,0.8876
0.8578,0.8589
0.8372,0.8385
0.0406,0.0414
0.078,0.0793
0.1026,0.1042
0.1264,0.1288
0.6416,0.6414
0.6046,0.6044
0.5712,0.5709
0.535,0.5349
0.519,0.5187
0.5041,0.5056
0.9323,0.935
0.9077,0.9097
0.8753,0.8787
0.8521,0.8551
0.826,0.8287
0.8068,0.8087
0.0408,0.0412
0.0648,0.0673
0.0887,0.0907
0.6063,0.606
0.5723,0.5719
0.5367,0.5364
0.5001,0.4997
0.4831,0.4837
0.4675,0.4688
0.9108,0.9129
0.8819,0.8835
0.8459,0.8477
0.8219,0.8228
0.7952,0.7971
0.7749,0.777
0.0306,0.0323
0.0614,0.0632
0.5738,0.5734
0.5395,0.5396
0.5029,0.5024
0.4636,0.4636
0.4469,0.4475
0.4288,0.4303
0.883,0.8849
0.8539,0.8558
0.817,0.8188
0.7932,0.7939
0.7666,0.7682
0.7456,0.7474
0.0314,0.0341
0.5549,0.5549
0.5212,0.521
0.4831,0.483
0.4439,0.4442
0.4246,0.4256
0.4053,0.4063
0.8569,0.8579
0.8254,0.8282
0.7893,0.7916
0.7648,0.7657
0.7384,0.7399
0.717,0.7203
0.5407,0.541
0.5068,0.5079
0.4692,0.4703
0.4295,0.4305
0.4075,0.409
0.3889,0.3912
0.8338,0.8364
0.8019,0.8025
0.764,0.7667
0.7402,0.742
0.7136,0.7152
0.6938,0.6954
0.0412,0.0417
0.0817,0.0818
0.1122,0.1129
0.1382,0.1386
0.1668,0.1692
0.6857,0.6852
0.6388,0.6384
0.598,0.5987
0.5701,0.5698
0.5626,0.5625
0.544,0.5446
0.044,0.0436
0.0785,0.0794
0.1035,0.1041
0.1307,0.1315
0.6475,0.6467
0.6008,0.6005
0.5597,0.5604
0.532,0.532
0.5231,0.5242
0.5038,0.5046
0.0416,0.0423
0.0657,0.0664
0.091,0.0925
0.604,0.6038
0.5574,0.5575
0.5172,0.5172
0.4909,0.4907
0.4837,0.484
0.4655,0.4665
0.037,0.0391
0.0679,0.0692
0.5899,0.5901
0.5451,0.5449
0.5043,0.5041
0.4703,0.4703
0.4616,0.4622
0.4409,0.4424
0.0322,0.0343
0.5613,0.5619
0.5181,0.5181
0.4758,0.4762
0.4422,0.4421
0.4317,0.4317
0.4109,0.4111
0.5392,0.5395
0.4981,0.4981
0.4547,0.4548
0.4217,0.4214
0.4087,0.4098
0.3855,0.3867
0.0476,0.0473
0.0895,0.0892
0.1206,0.1211
0.1435,0.1444
0.166,0.1689
0.0453,0.0457
0.0769,0.077
0.1018,0.1045
0.1247,0.1263
0.035,0.0346
0.0628,0.0654
0.0851,0.0878
0.0368,0.0378
0.0576,0.0583
0.0251,0.0259
